,,Tier,,CPU,Price/ HR,Price/Month,CPU,Default Dynamic Assumption,5%
Dynamic Postgres,Compute,Performance,AP-Northeast-1,8-16 CPU / 64GB RAM,$1.40,"1,024.02",,,
Dynamic Postgres,Compute,Performance,AP-Northeast-1,16-32 CPU / 128 GB RAM,$2.81,"2,048.05",,,
TimeSeries,Data Tiering,Performance,SA-East-1,,0.00002876712329,0.02,,,
TimeSeries,VPC,Performance,SA-East-1,,0.03,21.90,,,
TimeSeries,Connnection Poolers,Performance,SA-East-1,,0.03,21.90,,,
TimeSeries,Storage,Performance,SA-East-1,,0.001212,0.88,,,
TimeSeries,Compute,Performance,SA-East-1,0.5CPU/ 2GB RAM,$0.09,63.44,,,
TimeSeries,Compute,Performance,SA-East-1,1CPU/ 4GB RAM,$0.41,297.84,,,
TimeSeries,Compute,Performance,SA-East-1,2CPU/ 8GB Ram,$0.82,595.68,,,
TimeSeries,Compute,Performance,SA-East-1,4CPU/ 16GB Ram,$1.63,"1,191.36",,,
TimeSeries,Compute,Performance,SA-East-1,8CPU/ 32GB RAM,$3.26,"2,382.72",,,
TimeSeries,Compute,Performance,SA-East-1,16CPU/ 64GB RAM,$6.53,"4,765.44",,,
TimeSeries,Compute,Performance,SA-East-1,32CPU/ 128GB RAM,$13.06,"9,530.88",,,
Dynamic Postgres,Compute,Performance,SA-East-1,1-2 CPU / 8GB RAM,$0.22,157.94,,,
Dynamic Postgres,Compute,Performance,SA-East-1,2-4 CPU/ 16 GB Ram,$0.43,315.88,,,
Dynamic Postgres,Compute,Performance,SA-East-1,4-8 CPU / 32 GB Ram,$0.87,631.76,,,
Dynamic Postgres,Compute,Performance,SA-East-1,8-16 CPU / 64GB RAM,$1.73,"1,263.51",,,
Dynamic Postgres,Compute,Performance,SA-East-1,16-32 CPU / 128 GB RAM,$3.46,"2,527.02",,,
TimeSeries,Data Tiering,Performance,CA-Central-1,,0.00002876712329,0.02,,,
TimeSeries,VPC,Performance,CA-Central-1,,0.03,21.90,,,
TimeSeries,Connnection Poolers,Performance,CA-Central-1,,0.03,21.90,,,
TimeSeries,Storage,Performance,CA-Central-1,,0.001212,0.88,,,
TimeSeries,Compute,Performance,CA-Central-1,0.5CPU/ 2GB RAM,$0.06,44.37,,,
TimeSeries,Compute,Performance,CA-Central-1,1CPU/ 4GB RAM,$0.29,208.29,,,
TimeSeries,Compute,Performance,CA-Central-1,2CPU/ 8GB Ram,$0.57,416.59,,,
TimeSeries,Compute,Performance,CA-Central-1,4CPU/ 16GB Ram,$1.14,833.17,,,
TimeSeries,Compute,Performance,CA-Central-1,8CPU/ 32GB RAM,$2.28,"1,666.35",,,
TimeSeries,Compute,Performance,CA-Central-1,16CPU/ 64GB RAM,$4.57,"3,332.69",,,
TimeSeries,Compute,Performance,CA-Central-1,32CPU/ 128GB RAM,$9.13,"6,665.39",,,
Dynamic Postgres,Compute,Performance,CA-Central-1,1-2 CPU / 8GB RAM,$0.15,110.45,,,
Dynamic Postgres,Compute,Performance,CA-Central-1,2-4 CPU/ 16 GB Ram,$0.30,220.91,,,
Dynamic Postgres,Compute,Performance,CA-Central-1,4-8 CPU / 32 GB Ram,$0.61,441.82,,,
Dynamic Postgres,Compute,Performance,CA-Central-1,8-16 CPU / 64GB RAM,$1.21,883.63,,,
Dynamic Postgres,Compute,Performance,CA-Central-1,16-32 CPU / 128 GB RAM,$2.42,"1,767.27",,,
